id,review
1,경치가 정말 아름답고 힐링이 되었어요. 😊
2,음식이 맛있고 가격도 적당했어요!!!
3,숙소가   깨끗하고    위치가 편리했어요.
4,직원들이 ㅋㅋ 친절해서 기분 좋았어요.
5,교통이 불편해서 이동이 어려웠어요 ㅠㅠ
6,서비스가 좋아서 다음에 또 방문하고 싶다.
7,청결 상태가 매우 만족스러웠어요ㅋㅋ
8,분위기가 아늑하고 사진 찍기 좋았어요👍
9,가격 대비 성능이 정말 훌륭했어요.
10,주변 관광지가 가까워서 편리했어요. #추천
11,조식 메뉴가 다양하고 맛있었어요 :)
12,객실이 넓어서 편안하게 쉴 수 있었어요.
13,야경이 멋져서 추천합니다!!!
14,예약 과정이 간편하고  빠르게 완료됐어요.
15,와이파이 속도가 빨라서 업무하기 좋았어요.
16,수영장이 깨끗해서 가족과 즐거운 시간을 보냈다😊
17,화장실 물때가 좀 있었지만 전반적으로 좋았다.
18,주차 공간이 넉넉해서 편했어요.
19,가격이 조금 비싸지만 서비스가 좋아서 만족한다.
20,방문객 100명 이상이 추천한 곳이에요!
